               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.049458,            0.026567,                   0,             0.86968,             0.81705,             0.83846,             0.42708,            0.053656,            0.030364,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.048783,            0.026213,                   0,             0.85877,             0.81142,             0.83229,             0.42418,            0.053855,            0.030405,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.049005,            0.026161,                   0,             0.86327,              0.8135,             0.83283,             0.42684,            0.053726,            0.030465,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.048582,            0.026172,                   0,             0.86135,             0.81284,             0.82931,             0.42815,            0.053685,            0.030396,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.048607,            0.025792,                   0,             0.86563,             0.81578,               0.833,             0.43046,            0.053523,             0.03017,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.048546,            0.025802,                   0,             0.86861,             0.81568,             0.83547,             0.43389,            0.053324,            0.029975,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.048464,            0.025922,                   0,             0.86452,             0.80845,              0.8318,             0.42724,            0.053738,            0.030256,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.048128,            0.025821,                   0,              0.8619,             0.81015,             0.83218,              0.4283,            0.053694,            0.030347,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.048092,            0.025707,                   0,              0.8645,             0.80297,             0.82803,             0.42371,            0.053949,            0.030485,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.048216,            0.025733,                   0,              0.8648,             0.81786,             0.83447,             0.43066,            0.053603,            0.030379,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.047753,            0.025353,                   0,             0.86623,             0.81633,              0.8356,             0.43323,            0.053511,             0.03032,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.047937,            0.025446,                   0,             0.86656,             0.81848,             0.83603,             0.43093,            0.053562,            0.030395,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.047382,            0.025894,                   0,             0.87158,             0.82492,             0.83781,             0.43213,            0.053595,            0.030377,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.047519,            0.025287,                   0,             0.86594,             0.82212,             0.83718,              0.4317,            0.053581,             0.03041,                   0,            0.002773,            0.002773,            0.002773
